"","nobs","nsim","cr1w","cr1u","sel.cri","lm","heck.noinst","heck.inst"
"1",500,1,0,0,0,-0.323186017486082,-0.253673774158064,-0.109396198406131
"2",1100,1,0,0,0,-0.0932168499977684,-0.153853395620217,0.0796534158039273
"3",3000,1,0,0,0,-0.185899484361482,0.042616193535473,0.0143056394223322
"4",8200,1,0,0,0,-0.157838767944621,0.00995755409973853,0.0335063566344482
"5",500,2,0,0,0,-0.187398686103675,-0.279519377191095,0.0326660769081208
"6",1100,2,0,0,0,-0.23895612042406,-0.0513664969317846,-0.0676291634350202
"7",3000,2,0,0,0,-0.195480468774128,0.0589040793759148,0.0054937240622781
"8",8200,2,0,0,0,-0.184327073244413,0.00747381158641236,0.00791306213471299
"9",500,3,0,0,0,-0.137091832276458,-0.061752083142495,0.0259467979977486
"10",1100,3,0,0,0,-0.145822669589628,-0.358688369509816,0.0571223509614769
"11",3000,3,0,0,0,-0.190341144126862,0.0296928063980211,0.00870298447450168
"12",8200,3,0,0,0,-0.185638818915327,0.0388105525074343,0.00517995443958386
"13",500,4,0,0,0,-0.131433355247992,0.166044093271565,0.0729742126164887
"14",1100,4,0,0,0,-0.232657719892942,0.0801747633891883,-0.0197977219111697
"15",3000,4,0,0,0,-0.231741209260787,-0.0505821447565923,-0.0412840951414005
"16",8200,4,0,0,0,-0.165729641683863,0.0592511593072329,0.0260568947545123
"17",500,5,0,0,0,-0.112303566603981,0.168354087545175,0.0700063744779178
"18",1100,5,0,0,0,-0.131717193948964,0.101491600290212,0.0150076868027293
"19",3000,5,0,0,0,-0.205483031516002,-0.38455374465252,-0.00110717674473615
"20",8200,5,0,0,0,-0.20220332369986,0.0150951997887165,0.00349296949485622
"21",500,6,0,0,0,-0.140753577893219,0.779967181317559,0.00703339813048642
"22",1100,6,0,0,0,-0.156574811395474,0.0709030239063999,0.097038658239899
"23",3000,6,0,0,0,-0.173479538217945,0.0461951246906618,0.0182244277758548
